,lat,long,elev,d_distance,d_height,slope,slope_angle,d_calories,calories_sum,distance_sum,seg_id,segment
49,40.82394,-73.95242,34.0,7.882499214558417,0.0,0.0,0.0,0.3919204084304993,79.15214200008062,1479.7599739913896,1,157_139
50,40.82388,-73.95245,34.05,7.128800137506524,0.0499999999999971,0.0070138030293392,0.4018547224658705,0.3544462467374281,79.50658824681804,1486.888774128896,1,157_139
51,40.82337,-73.95283,34.26,65.06166983981655,0.2100000000000008,0.0032277068897405,0.184933340071713,3.2348872512028115,82.74147549802085,1551.9504439687123,1,157_139
52,40.82331,-73.95287,34.0,7.46792313438939,-0.259999999999998,-0.0348155699143061,-1.9939798274726543,0.3468012533260256,83.08827675134687,1559.418367103102,1,157_139
53,40.8233,-73.95288,34.0,1.393563466408368,0.0,0.0,0.0,0.0692884259245925,83.15756517727147,1560.8119305695102,1,157_139
54,40.82326,-73.95291,34.0,5.111000942681514,0.0,0.0,0.0,0.2541206186541461,83.4116857959256,1565.9229315121918,1,157_139
55,40.82306,-73.95306,34.0,25.55501597477836,0.0,0.0,0.0,1.2706036531897258,84.68228944911533,1591.4779474869702,1,157_139
56,40.82305,-73.95306,34.0,1.1112511341905271,0.0,0.0,0.0,0.0552517655284289,84.73754121464376,1592.589198621161,2,139_125
57,40.82274,-73.95329,32.59,39.50696790857288,-1.4099999999999966,-0.0356899067339974,-2.044013454374284,1.834655464343422,86.57219667898718,1632.0961665297336,2,139_125
58,40.82269,-73.95333,32.05,6.495107333006786,-0.5400000000000063,-0.0831395036777665,-4.752612483224702,0.3016248725433605,86.87382155153054,1638.5912738627403,2,139_125
59,40.82264,-73.95337,32.0,6.495108646743634,-0.0499999999999971,-0.0076981006353242,-0.4410599642934769,0.3229389010189501,87.19676045254948,1645.086382509484,2,139_125
60,40.82238,-73.95356,32.0,33.01608608190814,0.0,0.0,0.0,1.641570470200529,88.83833092275002,1678.102468591392,2,139_125
61,40.82238,-73.95356,32.0,0.0,0.0,0.0,0.0,0.0,88.83833092275002,1678.102468591392,2,139_125
62,40.82214,-73.95374,31.61,30.66612055343044,-0.3900000000000005,-0.0127176177801979,-0.7286265438080834,1.524729424657822,90.36306034740784,1708.7685891448225,2,139_125
